"year","state","species","value_imputed_gdp_adjusted","nmfs_region"
2020,"Connecticut","BASS, BLACK SEA",202207.69,"S. New England"
2020,"Connecticut","BASS, STRIPED",5036.6,"S. New England"
2020,"Connecticut","BLUEFISH",25952.94,"S. New England"
2020,"Connecticut","BONITO, ATLANTIC",336.13,"S. New England"
2020,"Connecticut","BUTTERFISH",113760.91,"S. New England"
2020,"Connecticut","CARP, COMMON",130.23,"S. New England"
2020,"Connecticut","CATFISH, BLUE",340.53,"S. New England"
2020,"Connecticut","CATFISH, WHITE",3.52,"S. New England"
2020,"Connecticut","CATFISHES, BULLHEAD **",1435.13,"S. New England"
2020,"Connecticut","COBIA",3.52,"S. New England"
2020,"Connecticut","COD, ATLANTIC",6806.1,"S. New England"
2020,"Connecticut","CONCHS **",407742.33,"S. New England"
2020,"Connecticut","CRAB, BLUE",1075.25,"S. New England"
2020,"Connecticut","CRAB, GREEN",57.19,"S. New England"
2020,"Connecticut","CRAB, HORSESHOE",30473.04,"S. New England"
2020,"Connecticut","CRAB, JONAH",274.53,"S. New England"
2020,"Connecticut","CUNNER",27.28,"S. New England"
2020,"Connecticut","DOLPHINFISH",153.1,"S. New England"
2020,"Connecticut","DORY, BUCKLER",1656.87,"S. New England"
2020,"Connecticut","EEL, AMERICAN",11892.86,"S. New England"
2020,"Connecticut","EEL, CONGER",80.95,"S. New England"
2020,"Connecticut","FLOUNDER, AMERICAN PLAICE",19281.47,"S. New England"
2020,"Connecticut","FLOUNDER, FOURSPOT",1167.64,"S. New England"
2020,"Connecticut","FLOUNDER, SUMMER",980468.64,"S. New England"
2020,"Connecticut","FLOUNDER, WINTER",31810.5,"S. New England"
2020,"Connecticut","FLOUNDER, WITCH",16043.4,"S. New England"
2020,"Connecticut","FLOUNDER, YELLOWTAIL",6398.7,"S. New England"
2020,"Connecticut","GOOSEFISH",49150.89,"S. New England"
2020,"Connecticut","HADDOCK",9901.63,"S. New England"
2020,"Connecticut","HAKE, RED",17912.33,"S. New England"
2020,"Connecticut","HAKE, SILVER",346235.75,"S. New England"
2020,"Connecticut","HAKE, WHITE",153.98,"S. New England"
2020,"Connecticut","HAKES, MERLUCCIUS (GENUS) **",3.52,"S. New England"
2020,"Connecticut","HAKES, RED AND WHITE **",66.87,"S. New England"
2020,"Connecticut","HALIBUT, ATLANTIC",1075.25,"S. New England"
